Hero Name,Role,Rank,Pick Rate,Win Rate,pick_norm,pick_z,win_z,hero_score
Adam Warlock,Strategist,Diamond,0.0139,0.46149999999999997,0.1529021843169188,-1.0410155164637338,-1.1331880824259613,-1.0871017994448475
Blade,Duelist,Diamond,0.0111,0.4775,0.266384778012685,-1.0356336222734182,-0.4798427205439599,-0.757738171408689
Deadpool,Duelist,Diamond,0.010700000000000001,0.4314,0.2567853265527684,-1.0491850241382,-1.62574815117171,-1.337466587654955
Black Widow,Duelist,Diamond,0.0105,0.359,0.25198560082281013,-1.0559607250705907,-3.425391387125054,-2.2406760560978225
Human Torch,Duelist,Diamond,0.0055000000000000005,0.5047999999999999,0.13199245757385294,-1.2253532483803642,0.19875203555446788,-0.5133006064129482
Cloak & Dagger,Strategist,Grandmaster,0.25,0.4916,2.750039286275518,2.1506584218551636,-0.25746202506253185,0.9465981983963159
Invisible Woman,Strategist,Grandmaster,0.2371,0.49310000000000004,2.6081372591037013,1.9762721710956812,-0.21382119163910354,0.8812254897282888
Magneto,Vanguard,Grandmaster,0.1931,0.49689999999999995,2.5104793199514246,2.5661929771188112,-0.5953732230764018,0.9854098770212047
Doctor Strange,Vanguard,Grandmaster,0.1891,0.4915,2.4584756054003853,2.4778425010134777,-0.8045883273525332,0.8366270868304723
Emma Frost,Vanguard,Grandmaster,0.1176,0.4692,1.528909207800557,0.8985777406306442,-1.668569220937303,-0.38499574015332944
Rocket Raccoon,Strategist,Grandmaster,0.1125,0.5371,1.2375176788239832,0.29189024515525525,1.0663099221147456,0.6791000836350004
Luna Snow,Strategist,Grandmaster,0.1106,0.4558,1.2166173802482891,0.26620544853176564,-1.2990232494349823,-0.5164089004516084
Winter Soldier,Duelist,Grandmaster,0.1063,0.4464,2.5510542254728303,2.1896000215446634,-1.252893889579166,0.46835306598274873
Moon Knight,Duelist,Grandmaster,0.1008,0.5074000000000001,2.419061767898977,2.003268245903913,0.26338010756384606,1.1333241767338795
Thor,Vanguard,Grandmaster,0.0915,0.529,1.1895849703550252,0.32209088404334413,0.6482943412317236,0.4851926126375339
Namor,Duelist,Grandmaster,0.08259999999999999,0.4842,1.9822867264727728,1.3866794610563382,-0.31330115036595607,0.5366891553451911
Groot,Vanguard,Grandmaster,0.08199999999999999,0.5214,1.0660761482963066,0.11225850329317727,0.3538434537319792,0.23305097851257822
The Punisher,Duelist,Grandmaster,0.0776,0.4569,1.8622935832238159,1.2172869377465654,-0.9918959064643866,0.11269551564108937
Spider- Man,Duelist,Grandmaster,0.07400000000000001,0.5228,1.7758985200845667,1.095324320963529,0.6461771494655234,0.8707507352145263
Jeff the Land Shark,Strategist,Grandmaster,0.0707,0.5065999999999999,0.7777111101587165,-0.27317528056151696,0.17894630917173382,-0.04711448569489157
Phoenix,Duelist,Grandmaster,0.069,0.49689999999999995,1.6559053768356096,0.9259317976537557,0.002382124449062521,0.4641569610514091
Hela,Duelist,Grandmaster,0.0679,0.515,1.6295068853208388,0.8886654425256054,0.45229293343739996,0.6704791879815026
Gambit,Strategist,Grandmaster,0.066,0.5132,0.7260103715767368,-0.33671135641962285,0.3709659762348127,0.017127309907594923
Loki,Strategist,Grandmaster,0.06570000000000001,0.5513,0.7227103244332063,-0.3407668506233317,1.4794431451898513,0.5693381472832598
The Thing,Vanguard,Grandmaster,0.0599,0.4836,0.7787556254018143,-0.3758778771887892,-1.1106622762009504,-0.7432700766948698
Magik,Duelist,Grandmaster,0.0575,0.5722,1.379921147363008,0.5363289940412772,1.8741105176436337,1.2052197558424553
Hulk,Vanguard,Grandmaster,0.0557,0.5572,0.724151725123223,-0.46864587709938926,1.7408621080070839,0.6361081154538473
Angela,Vanguard,Grandmaster,0.0446,0.5478999999999999,0.5798414172440888,-0.7138184482916893,1.3805472061981852,0.33336437895324794
Star-Lord,Duelist,Grandmaster,0.0425,0.5038,1.0199417176161363,0.028151424111957635,0.1738950847816344,0.10102325444679602
Deadpool,Vanguard,Grandmaster,0.042199999999999994,0.5168,0.5486391885134652,-0.7668287339548894,0.17562317971897962,-0.2956027771179549
Psylocke,Duelist,Grandmaster,0.0415,0.4949,0.9959430889663449,-0.005727080549997034,-0.04733177709660862,-0.02652942882330283
Venom,Vanguard,Grandmaster,0.0393,0.5038,0.5109364954639617,-0.8308828291312559,-0.32804281205689606,-0.579462820594076
Iron Fist,Duelist,Grandmaster,0.0362,0.5152,0.8687503571224502,-0.1852831552583566,0.45726432359196667,0.13599058416680504
Hawkeye,Duelist,Grandmaster,0.036000000000000004,0.5262,0.863950631392492,-0.19205885619074747,0.7306907820931656,0.2693159629512091
Daredevil,Duelist,Grandmaster,0.0338,0.5621,0.8111536483629506,-0.2665915664470479,1.6230553148379876,0.6782318741954698
Deadpool,Strategist,Grandmaster,0.0331,0.4201,0.36410520150287856,-0.7814638874263646,-2.337675084912538,-1.5595694861694511
Rogue,Vanguard,Grandmaster,0.033,0.5452,0.4290306450460747,-0.970034828997156,1.2759396540601216,0.15295241253148278
Wolverine,Duelist,Grandmaster,0.0308,0.4863,0.7391577624135763,-0.3682270804329117,-0.2611015537430002,-0.31466431708795595
Peni Parker,Vanguard,Grandmaster,0.0277,0.5699000000000001,0.3601257232659475,-1.0870992098367227,2.2329050384342866,0.5729029142987819
Mantis,Strategist,Grandmaster,0.026699999999999998,0.537,0.2937041957742253,-0.8679810971054877,1.0634005332198508,0.0977097180571816
