Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Mister Fantastic,Duelist,Platinum,0.025099999999999997,0.5232,0.047392686384301774,B
Wolverine,Duelist,Platinum,0.0227,0.49060000000000004,-0.39842981680727396,C
Captain America,Vanguard,Platinum,0.0226,0.5018,-0.8026379772928729,C
Black Panther,Duelist,Platinum,0.0223,0.5373,0.17520428280606082,B
Mantis,Strategist,Platinum,0.021400000000000002,0.5304,-0.03412364760711972,B
Iron Fist,Duelist,Platinum,0.021099999999999997,0.5223,-0.031549950787383985,B
Daredevil,Duelist,Platinum,0.0194,0.5384,0.13975177397128646,B
Ultron,Strategist,Platinum,0.018799999999999997,0.5489,0.21742101695460736,B
Storm,Duelist,Platinum,0.0148,0.5608,0.3402290619045564,A
Adam Warlock,Strategist,Platinum,0.0144,0.4929,-0.6269481644432234,C
Blade,Duelist,Platinum,0.013600000000000001,0.4683,-0.8297320141362923,C
Deadpool,Duelist,Platinum,0.012199999999999999,0.4675,-0.8633897477087946,C
Black Widow,Duelist,Platinum,0.0095,0.373,-2.0836166530189457,D
Human Torch,Duelist,Platinum,0.0046,0.4929,-0.6764447906092022,C
Cloak & Dagger,Strategist,Diamond,0.2816,0.5015999999999999,1.305657004536406,S
Invisible Woman,Strategist,Diamond,0.2034,0.4869,0.5632508428782237,A
Doctor Strange,Vanguard,Diamond,0.19699999999999998,0.5018,1.123402401803394,S
Magneto,Vanguard,Diamond,0.1684,0.49450000000000005,0.6661355366512935,A
Emma Frost,Vanguard,Diamond,0.1304,0.4677,-0.2726926317564814,B
Moon Knight,Duelist,Diamond,0.10300000000000001,0.5115,1.2215472809463426,S
Rocket Raccoon,Strategist,Diamond,0.0998,0.54,0.6354449286324749,A
Luna Snow,Strategist,Diamond,0.09820000000000001,0.451,-0.6700477808057409,C
Thor,Vanguard,Diamond,0.0951,0.5323,0.5888771643026406,A
Gambit,Strategist,Diamond,0.0941,0.5171,0.2637927052317496,B
Winter Soldier,Duelist,Diamond,0.09300000000000001,0.4631,0.4506165489339331,A
Namor,Duelist,Diamond,0.0891,0.4839,0.643065752880618,A
The Punisher,Duelist,Diamond,0.0875,0.4717,0.4643355494367533,A
Groot,Vanguard,Diamond,0.0754,0.5064,-0.13041469799117306,B
Jeff the Land Shark,Strategist,Diamond,0.07519999999999999,0.502,-0.08361422374966164,B
Phoenix,Duelist,Diamond,0.0702,0.4844,0.3291281215183558,A
The Thing,Vanguard,Diamond,0.0644,0.49670000000000003,-0.4398027611062354,C
Hela,Duelist,Diamond,0.0632,0.5212,0.6679212494217015,A
Spider- Man,Duelist,Diamond,0.059800000000000006,0.522,0.6202705718055134,A
Magik,Duelist,Diamond,0.054900000000000004,0.5674,1.101521017927107,S
Deadpool,Vanguard,Diamond,0.0512,0.5192,-0.14971624610475942,B
Loki,Strategist,Diamond,0.0496,0.5279,0.12011721878100995,B
Deadpool,Strategist,Diamond,0.048600000000000004,0.418,-1.4853511359700367,D
Rogue,Vanguard,Diamond,0.042800000000000005,0.5351,0.06552687972450322,B
Squirrel Girl,Duelist,Diamond,0.0414,0.4464,-0.6310044102976793,C
Hulk,Vanguard,Diamond,0.0401,0.5587,0.49288234042013135,A
Star-Lord,Duelist,Diamond,0.038900000000000004,0.5052,0.057441811596262514,B
Peni Parker,Vanguard,Diamond,0.0385,0.5611999999999999,0.5236416674852055,A
Angela,Vanguard,Diamond,0.0378,0.5466,0.23308317467492146,B
Venom,Vanguard,Diamond,0.037200000000000004,0.488,-0.9087287694201431,C
Psylocke,Duelist,Diamond,0.0353,0.5052,-0.0035394967952559336,B
Scarlet Witch,Duelist,Diamond,0.0311,0.4799,-0.389124783861739,C
Hawkeye,Duelist,Diamond,0.028300000000000002,0.5307999999999999,0.19605470678020623,B
Iron Fist,Duelist,Diamond,0.0282,0.5227,0.09369013091712311,B
Wolverine,Duelist,Diamond,0.027000000000000003,0.4858,-0.3852477136388788,C
Iron Man,Duelist,Diamond,0.0259,0.504,-0.17768263917014415,B
Black Panther,Duelist,Diamond,0.025,0.5278,0.10286974792872805,B
Daredevil,Duelist,Diamond,0.023799999999999998,0.5539999999999999,0.4081687002557086,A
Mister Fantastic,Duelist,Diamond,0.0219,0.5119,-0.1472546929413501,B
Captain America,Vanguard,Diamond,0.0218,0.5301,-0.26325196462428063,B
Mantis,Strategist,Diamond,0.0206,0.5307,-0.03516688986972277,B
Ultron,Strategist,Diamond,0.0151,0.5268999999999999,-0.12762064240672844,B
Storm,Duelist,Diamond,0.0149,0.5562,0.28475200036013143,B
Adam Warlock,Strategist,Diamond,0.0139,0.46149999999999997,-1.0871017994448475,D
Blade,Duelist,Diamond,0.0111,0.4775,-0.757738171408689,C
Deadpool,Duelist,Diamond,0.010700000000000001,0.4314,-1.337466587654955,D
Black Widow,Duelist,Diamond,0.0105,0.359,-2.2406760560978225,D
Human Torch,Duelist,Diamond,0.0055000000000000005,0.5047999999999999,-0.5133006064129482,C
Cloak & Dagger,Strategist,Grandmaster,0.25,0.4916,0.9465981983963159,A
